model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Llama-2-13b-hf,mxq,4_13,4.13,kurt-global,4.7655,6.6132,,,,13000000000
Llama-2-13b-hf,mxq,4_25,4.25,kurt-global,4.7351,6.5715,,,,13000000000
Llama-2-13b-hf,mxq,4_51,4.51,kurt-global,4.6977,6.5242000000000004,,,,13000000000
Llama-2-13b-hf,mxq,3_25,3.25,kurt-global,5.2031,7.2807,,,56.131030321121216,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,kurt-global,5.5082,7.7057,,,52.83729958534241,13000000000
Llama-2-13b-hf,mxq,3_51,3.51,kurt-global,4.9436,6.8787,,,54.635329246521,13000000000
Meta-Llama-3-8B,mxq,3_51,3.51,kurt-global,7.3205,11.7367,,,30.006831645965576,8000000000
Meta-Llama-3-8B,mxq,4_51,4.51,kurt-global,6.1202,9.4794,,,28.563372373580933,8000000000
Llama-2-7b-hf,mxq,3_51,3.51,kurt-global,5.6783,7.6526,,,22.994393587112427,7000000000
Llama-2-7b-hf,mxq,4_13,4.13,kurt-global,5.3782,7.23,,,21.26705026626587,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,kurt-global,9.183,14.5493,,,27.85302138328552,8000000000
Llama-2-7b-hf,mxq,4_51,4.51,kurt-global,5.2921,7.0924,,,19.899582147598267,7000000000
Llama-2-7b-hf,mxq,4_25,4.25,kurt-global,5.3431,7.1635,,,21.100379467010494,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,kurt-global,6.2932,8.561,,,22.62109351158142,7000000000
Meta-Llama-3-8B,mxq,4_25,4.25,kurt-global,6.3117,9.8399,,,26.04231977462769,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,kurt-global,10.4183,16.4045,,,27.003485679626465,8000000000
Llama-2-7b-hf,mxq,3_13,3.13,kurt-global,6.7201,9.1436,,,22.48272466659546,7000000000
Meta-Llama-3-8B,mxq,4_13,4.13,kurt-global,6.4338,10.0504,,,25.199901580810547,8000000000
Llama-2-13b-hf,mxq,4_13,4.13,kurt-scaled,4.7442,6.5869,,,45.59086585044861,13000000000
Meta-Llama-3-8B,mxq,3_51,3.51,kurt-scaled,7.2673,11.4957,,,27.52396774291992,8000000000
Llama-2-13b-hf,mxq,3_25,3.25,kurt-scaled,5.0423,7.0035,,,52.70726203918457,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,kurt-scaled,5.2099,7.2535,,,52.073384284973145,13000000000
Meta-Llama-3-8B,mxq,4_51,4.51,kurt-scaled,6.1041,9.458,,,28.44096708297729,8000000000
Llama-2-7b-hf,mxq,3_51,3.51,kurt-scaled,5.6294,7.6082,,,24.83255696296692,7000000000
Llama-2-7b-hf,mxq,4_13,4.13,kurt-scaled,5.3526,7.1795,,,22.74801659584045,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,kurt-scaled,8.4928,13.6201,,,28.01907706260681,8000000000
Llama-2-13b-hf,mxq,4_25,4.25,kurt-scaled,4.7082,6.5428,,,46.99741530418396,13000000000
Llama-2-7b-hf,mxq,4_51,4.51,kurt-scaled,5.2868,7.0789,,,19.413750171661377,7000000000
Llama-2-7b-hf,mxq,4_25,4.25,kurt-scaled,5.3178,7.1209,,,20.45188570022583,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,kurt-scaled,5.8519,7.9007,,,25.55066680908203,7000000000
Llama-2-13b-hf,mxq,4_51,4.51,kurt-scaled,4.6921,6.5166,,,45.22110652923584,13000000000
Meta-Llama-3-8B,mxq,4_25,4.25,kurt-scaled,6.2938,9.7943,,,26.82389187812805,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,kurt-scaled,9.5215,15.2361,,,27.188827753067017,8000000000
Llama-2-13b-hf,mxq,3_51,3.51,kurt-scaled,4.9178,6.8309,,,49.90624737739563,13000000000
Llama-2-7b-hf,mxq,3_13,3.13,kurt-scaled,6.167,8.3182,,,25.616249084472656,7000000000
Meta-Llama-3-8B,mxq,4_13,4.13,kurt-scaled,6.4023,10.004,,,25.25553274154663,8000000000
Llama-2-13b-hf,mxq,2_25,2.25,mxq1,32.811,41.7335,3.98,3.98,52.94397020339966,13000000000
Llama-2-13b-hf,mxq,2_51,2.51,mxq1,8.9401,12.4191,4.49,4.49,53.25425028800965,13000000000
Llama-2-7b-hf,mxq,2_57,2.57,mxq1,12.9279,17,,,28.16793727874756,7000000000
Meta-Llama-3-8B,mxq,2_19,2.19,mxq1,87781.2812,61938.2773,,,26.016353130340576,8000000000
Llama-2-7b-hf,mxq,2_47,2.47,mxq1,163.0594,170.9671,,,26.49335289001465,7000000000
Llama-2-7b-hf,mxq,2_15,2.15,mxq1,,,,,25.715022802352905,7000000000
Meta-Llama-3-8B,mxq,2_57,2.57,mxq1,53.2459,88.4592,,,30.894856691360477,8000000000
Meta-Llama-3-8B,mxq,2_31,2.31,mxq1,6299.3838,5084.3877,,,25.639243364334103,8000000000
Llama-2-7b-hf,mxq,2_29,2.29,mxq1,6517.4971,6266.208,,,26.90976619720459,7000000000
Llama-2-7b-hf,mxq,2_13,2.13,mxq1,,4406.4316,,,26.363276958465576,7000000000
Meta-Llama-3-8B,mxq,2_55,2.55,mxq1,55.7362,93.1902,,,26.275548934936523,8000000000
Llama-2-13b-hf,mxq,2_15,2.15,mxq1,458.1787,998.125,,,54.36496758460999,13000000000
Llama-2-7b-hf,mxq,2_55,2.55,mxq1,25.203,36.4469,,,27.793428897857662,7000000000
Meta-Llama-3-8B,mxq,2_29,2.29,mxq1,4450.3784,2712.1501,,,26.07418942451477,8000000000
Llama-2-7b-hf,mxq,2_19,2.19,mxq1,,4263.6934,,,25.5257465839386,7000000000
Llama-2-13b-hf,mxq,2_13,2.13,mxq1,859.1281,1737.4487,,,52.718018770217896,13000000000
Meta-Llama-3-8B,mxq,2_51,2.51,mxq1,75.1645,112.2336,4.08,4.08,24.515072107315063,8000000000
Llama-2-13b-hf,mxq,2_21,2.21,mxq1,63.2594,78.369,,,53.45778012275696,13000000000
Llama-2-13b-hf,mxq,2_57,2.57,mxq1,7.6239,10.5162,,,54.56654715538025,13000000000
Llama-2-7b-hf,mxq,2_31,2.31,mxq1,6221.833,6395.2168,,,26.94262170791626,7000000000
Llama-2-13b-hf,mxq,2_53,2.53,mxq1,7.8701,10.801,,,55.17441821098328,13000000000
Llama-2-13b-hf,mxq,2_31,2.31,mxq1,28.025,37.1851,,,53.44624614715576,13000000000
Llama-2-13b-hf,mxq,2_29,2.29,mxq1,29.5297,39.5324,,,53.31960153579712,13000000000
Meta-Llama-3-8B,mxq,2_17,2.17,mxq1,70275.0781,54749.7031,,,25.9489004611969,8000000000
Llama-2-7b-hf,mxq,2_17,2.17,mxq1,3624.9775,2700.9817,,,25.71911692619324,7000000000
Meta-Llama-3-8B,mxq,2_27,2.27,mxq1,9208.6211,5850.2134,,,25.73874425888061,8000000000
Llama-2-7b-hf,mxq,2_51,2.51,mxq1,37.9823,51.8843,2.47,2.47,27.23824882507324,7000000000
Llama-2-13b-hf,mxq,2_49,2.49,mxq1,11.1589,15.2583,,,53.56611061096192,13000000000
Meta-Llama-3-8B,mxq,2_45,2.45,mxq1,154.344,200.7597,,,25.179463624954224,8000000000
Meta-Llama-3-8B,mxq,2_47,2.47,mxq1,97.5642,134.4331,,,24.84200382232666,8000000000
Llama-2-13b-hf,mxq,2_55,2.55,mxq1,7.727,10.6813,,,55.89913749694824,13000000000
Llama-2-13b-hf,mxq,2_17,2.17,mxq1,339.3502,440.1154,,,53.24775695800781,13000000000
Llama-2-7b-hf,mxq,2_25,2.25,mxq1,3165.4758,2195.2532,2.21,2.21,25.3148353099823,7000000000
Meta-Llama-3-8B,mxq,2_49,2.49,mxq1,82.8497,120.7239,,,24.85382080078125,8000000000
Llama-2-13b-hf,mxq,2_19,2.19,mxq1,141.4781,165.3496,,,52.42427635192871,13000000000
Llama-2-7b-hf,mxq,2_27,2.27,mxq1,8563.4287,4808.2769,,,25.713513374328613,7000000000
Meta-Llama-3-8B,mxq,2_21,2.21,mxq1,46663.0352,27468.2246,,,25.73615527153015,8000000000
Meta-Llama-3-8B,mxq,2_25,2.25,mxq1,14484.7344,6815.4814,3.8,3.8,25.789592504501343,8000000000
Meta-Llama-3-8B,mxq,2_53,2.53,mxq1,69.2855,104.0414,,,24.58772611618042,8000000000
Meta-Llama-3-8B,mxq,2_23,2.23,mxq1,37196.2031,22969.9609,,,25.892287492752075,8000000000
Meta-Llama-3-8B,mxq,2_13,2.13,mxq1,102580.3359,84270.4375,,,26.389660120010376,8000000000
Llama-2-7b-hf,mxq,2_53,2.53,mxq1,29.0323,40.7581,,,27.771810293197632,7000000000
Llama-2-13b-hf,mxq,2_47,2.47,mxq1,11.89,16.4769,,,51.62110185623169,13000000000
Llama-2-7b-hf,mxq,2_23,2.23,mxq1,,2553.3374,,,25.2646484375,7000000000
Llama-2-7b-hf,mxq,2_49,2.49,mxq1,115.5637,150.3164,,,27.280510187149048,7000000000
Llama-2-13b-hf,mxq,2_27,2.27,mxq1,31.1418,40.785,,,53.63895511627197,13000000000
Llama-2-13b-hf,mxq,2_23,2.23,mxq1,36.6126,45.7069,,,53.58946084976196,13000000000
Llama-2-7b-hf,mxq,2_45,2.45,mxq1,220.0714,210.4805,,,26.75245475769043,7000000000
Llama-2-13b-hf,mxq,2_45,2.45,mxq1,12.6573,17.8399,,,54.017335653305054,13000000000
Meta-Llama-3-8B,mxq,2_15,2.15,mxq1,105435.9375,92822.4844,,,26.52206039428711,8000000000
Llama-2-7b-hf,mxq,2_21,2.21,mxq1,2100.0659,2256.1875,,,25.267686367034912,7000000000
Llama-2-7b-hf,mxq,3_17,3.17,mxq1,6.2066,8.3767,3.89,3.15,23.93885064125061,7000000000
Llama-2-7b-hf,mxq,3_15,3.15,mxq1,6.2498,8.4539,3.87,3.13,23.690832138061523,7000000000
Llama-2-7b-hf,mxq,3_23,3.23,mxq1,6.0822,8.1955,3.96,3.22,23.9164457321167,7000000000
Meta-Llama-3-8B,mxq,3_53,3.53,mxq1,7.2693,11.59,6.18,5.22,31.49493908882141,8000000000
Meta-Llama-3-8B,mxq,3_47,3.47,mxq1,7.3315,11.7529,6.12,5.16,28.023107051849365,8000000000
Llama-2-7b-hf,mxq,3_49,3.49,mxq1,5.6751,7.6633,4.16,3.42,23.175869464874268,7000000000
Meta-Llama-3-8B,mxq,3_23,3.23,mxq1,10.0226,16.0279,5.78,4.81,28.993937969207764,8000000000
Meta-Llama-3-8B,mxq,3_51,3.51,mxq1,7.3027,11.6846,5.2,5.2,28.63060522079468,8000000000
Llama-2-13b-hf,mxq,3_07,3.07,mxq1,5.574,7.7195,6.8,5.64,46.07139348983765,13000000000
Llama-2-13b-hf,mxq,3_21,3.21,mxq1,5.0866,7.0857,7.11,5.95,46.92101526260376,13000000000
Llama-2-13b-hf,mxq,3_11,3.11,mxq1,5.3026,7.4293,6.88,5.72,46.61716437339783,13000000000
Llama-2-13b-hf,mxq,3_29,3.29,mxq1,5.0236,6.979,7.24,6.08,46.99477672576904,13000000000
Llama-2-13b-hf,mxq,3_25,3.25,mxq1,5.0621,7.0456,6.02,6.02,46.72133708000183,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,mxq1,5.2443,7.345,5.76,5.76,47.23818993568421,13000000000
Llama-2-13b-hf,mxq,3_15,3.15,mxq1,5.1828,7.2543,6.96,5.8,46.96672964096069,13000000000
Llama-2-7b-hf,mxq,3_53,3.53,mxq1,5.6258,7.6053,4.19,3.45,22.982957124710083,7000000000
Meta-Llama-3-8B,mxq,3_45,3.45,mxq1,7.3681,11.8165,6.1,5.13,28.407453775405884,8000000000
Meta-Llama-3-8B,mxq,3_15,3.15,mxq1,12.0248,19.104,5.69,4.73,27.753002405166622,8000000000
Llama-2-7b-hf,mxq,3_51,3.51,mxq1,5.6533,7.6335,3.43,3.43,22.904547214508057,7000000000
Llama-2-7b-hf,mxq,3_09,3.09,mxq1,6.6295,8.9296,3.81,3.07,23.465599298477173,7000000000
Llama-2-7b-hf,mxq,3_19,3.19,mxq1,6.1522,8.3004,3.91,3.17,23.9538152217865,7000000000
Llama-2-7b-hf,mxq,3_11,3.11,mxq1,6.4894,8.7504,3.82,3.09,23.55207371711731,7000000000
Llama-2-13b-hf,mxq,3_09,3.09,mxq1,5.5077,7.6411,6.84,5.68,46.61923623085022,13000000000
Llama-2-13b-hf,mxq,3_45,3.45,mxq1,4.9517,6.8677,7.49,6.33,46.036176919937134,13000000000
Meta-Llama-3-8B,mxq,3_55,3.55,mxq1,7.2414,11.5211,6.21,5.25,30.077120780944824,8000000000
Meta-Llama-3-8B,mxq,3_49,3.49,mxq1,7.3122,11.7176,6.14,5.18,27.61187529563904,8000000000
Llama-2-7b-hf,mxq,3_57,3.57,mxq1,5.5862,7.5596,4.21,3.47,22.52934837341309,7000000000
Llama-2-7b-hf,mxq,3_21,3.21,mxq1,6.1096,8.2316,3.94,3.2,23.31728768348694,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,mxq1,9.5211,15.2334,4.84,4.84,32.30627083778381,8000000000
Llama-2-13b-hf,mxq,3_57,3.57,mxq1,4.8925,6.8016,7.59,6.43,45.5713005065918,13000000000
Llama-2-7b-hf,mxq,3_47,3.47,mxq1,5.6933,7.6896,4.15,3.41,22.94914054870605,7000000000
Meta-Llama-3-8B,mxq,3_19,3.19,mxq1,11.2001,17.8927,5.73,4.77,28.12361979484558,8000000000
Meta-Llama-3-8B,mxq,3_07,3.07,mxq1,13.5388,21.397,5.61,4.65,27.469716787338257,8000000000
Llama-2-7b-hf,mxq,3_29,3.29,mxq1,5.9926,8.0744,4,3.26,23.572184324264526,7000000000
Llama-2-13b-hf,mxq,3_49,3.49,mxq1,4.9331,6.847,7.51,6.35,45.97244477272034,13000000000
Meta-Llama-3-8B,mxq,3_09,3.09,mxq1,13.1133,20.7977,5.63,4.67,27.431740045547485,8000000000
Llama-2-7b-hf,mxq,3_45,3.45,mxq1,5.6992,7.6996,4.14,3.4,22.95669937133789,7000000000
Llama-2-13b-hf,mxq,3_27,3.27,mxq1,5.0503,7.027,7.22,6.06,47.17163896560669,13000000000
Llama-2-7b-hf,mxq,3_27,3.27,mxq1,6.0132,8.1019,4,3.26,23.951513528823853,7000000000
Llama-2-7b-hf,mxq,3_55,3.55,mxq1,5.6029,7.5801,4.21,3.47,22.64799976348877,7000000000
Llama-2-7b-hf,mxq,3_07,3.07,mxq1,6.7787,9.1214,3.78,3.04,23.06631445884705,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,mxq1,6.041,8.131,3.24,3.24,23.99044942855835,7000000000
Meta-Llama-3-8B,mxq,3_11,3.11,mxq1,12.5238,20.161,5.65,4.69,27.563595056533813,8000000000
Llama-2-13b-hf,mxq,3_23,3.23,mxq1,5.0689,7.0592,7.16,6,47.020263671875,13000000000
Llama-2-13b-hf,mxq,3_55,3.55,mxq1,4.9012,6.81,7.58,6.42,45.80900669097901,13000000000
Llama-2-7b-hf,mxq,3_31,3.31,mxq1,5.9335,7.9668,4,3.26,23.384377241134644,7000000000
Meta-Llama-3-8B,mxq,3_31,3.31,mxq1,8.2586,13.1947,5.87,4.9,29.256778717041016,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,mxq1,12.2277,19.4878,4.71,4.71,27.727351665496823,8000000000
Llama-2-13b-hf,mxq,3_51,3.51,mxq1,4.9235,6.8358,6.38,6.38,46.29764461517334,13000000000
Meta-Llama-3-8B,mxq,3_29,3.29,mxq1,8.5396,13.5828,5.84,4.88,29.192342042922974,8000000000
Llama-2-13b-hf,mxq,3_53,3.53,mxq1,4.9166,6.8245,7.56,6.4,45.62708783149719,13000000000
Meta-Llama-3-8B,mxq,3_17,3.17,mxq1,11.4509,18.2581,5.72,4.75,28.137948036193848,8000000000
Llama-2-13b-hf,mxq,3_47,3.47,mxq1,4.9483,6.8591,7.5,6.34,46.02526903152466,13000000000
Meta-Llama-3-8B,mxq,3_57,3.57,mxq1,7.2076,11.4863,6.23,5.26,36.05688500404358,8000000000
Llama-2-7b-hf,mxq,3_13,3.13,mxq1,6.3628,8.6,3.11,3.11,23.47822117805481,7000000000
Llama-2-13b-hf,mxq,3_17,3.17,mxq1,5.144,7.1616,7,5.84,46.93401551246643,13000000000
Llama-2-13b-hf,mxq,3_19,3.19,mxq1,5.1087,7.1157,7.05,5.88,46.807069063186646,13000000000
Llama-2-13b-hf,mxq,3_31,3.31,mxq1,5.0154,6.973,7.24,6.08,46.67524003982544,13000000000
Meta-Llama-3-8B,mxq,3_27,3.27,mxq1,9.1878,14.7733,5.82,4.86,29.376732349395752,8000000000
Meta-Llama-3-8B,mxq,3_21,3.21,mxq1,10.7828,17.2627,5.76,4.79,28.50547289848328,8000000000
Meta-Llama-3-8B,mxq,4_07,4.07,mxq1,6.4614,10.0802,6.53,5.57,26.681859731674194,8000000000
Llama-2-7b-hf,mxq,4_21,4.21,mxq1,5.3182,7.1353,4.43,3.7,20.549405813217163,7000000000
Llama-2-13b-hf,mxq,4_13,4.13,mxq1,4.7357,6.5707,6.94,6.94,41.649832010269165,13000000000
Meta-Llama-3-8B,mxq,4_59,4.59,mxq1,6.1108,9.4605,6.65,5.69,24.4688937664032,8000000000
Meta-Llama-3-8B,mxq,4_09,4.09,mxq1,6.431,10.0261,6.51,5.55,27.558760166168213,8000000000
Meta-Llama-3-8B,mxq,4_49,4.49,mxq1,6.1145,9.4645,6.56,5.61,23.361668825149536,8000000000
Llama-2-13b-hf,mxq,4_31,4.31,mxq1,4.7008,6.5332,8.14,6.98,39.76875686645508,13000000000
Llama-2-7b-hf,mxq,4_53,4.53,mxq1,5.2875,7.078,4.64,3.9,19.18871831893921,7000000000
Llama-2-7b-hf,mxq,4_15,4.15,mxq1,5.3283,7.1561,4.45,3.71,20.58371472358704,7000000000
Llama-2-7b-hf,mxq,4_35,4.35,mxq1,5.3039,7.0966,4.5,3.77,19.5824933052063,7000000000
Llama-2-7b-hf,mxq,4_61,4.61,mxq1,5.2864,7.0736,4.7,3.96,19.251134634017944,7000000000
Llama-2-7b-hf,mxq,4_07,4.07,mxq1,5.3565,7.2072,4.44,3.71,21.131075859069824,7000000000
Llama-2-7b-hf,mxq,4_29,4.29,mxq1,5.3113,7.114,4.46,3.72,19.97725749015808,7000000000
Meta-Llama-3-8B,mxq,4_03,4.03,mxq1,6.4963,10.1587,6.54,5.58,25.88525485992432,8000000000
Llama-2-7b-hf,mxq,4_41,4.41,mxq1,5.3008,7.0875,4.55,3.81,19.59765887260437,7000000000
Meta-Llama-3-8B,mxq,4_51,4.51,mxq1,6.1146,9.4655,5.62,5.62,24.92203664779663,8000000000
Llama-2-13b-hf,mxq,4_09,4.09,mxq1,4.7492,6.5873,8.12,6.97,42.047685384750366,13000000000
Meta-Llama-3-8B,mxq,4_05,4.05,mxq1,6.4759,10.1244,6.53,5.58,26.255170822143555,8000000000
Meta-Llama-3-8B,mxq,4_11,4.11,mxq1,6.4222,9.9862,6.5,5.55,27.063514947891235,8000000000
Meta-Llama-3-8B,mxq,4_45,4.45,mxq1,6.1205,9.4749,6.53,5.57,23.748464822769165,8000000000
Llama-2-7b-hf,mxq,4_49,4.49,mxq1,5.2904,7.0791,4.61,3.87,19.427526235580444,7000000000
Meta-Llama-3-8B,mxq,4_15,4.15,mxq1,6.405,9.9757,6.49,5.53,26.835866928100582,8000000000
Llama-2-7b-hf,mxq,4_47,4.47,mxq1,5.2959,7.0845,4.6,3.86,19.193933725357056,7000000000
Llama-2-13b-hf,mxq,4_43,4.43,mxq1,4.6938,6.5195,8.31,7.15,39.36584949493408,13000000000
Llama-2-7b-hf,mxq,4_43,4.43,mxq1,5.2992,7.0879,4.57,3.83,19.426052570343018,7000000000
Llama-2-13b-hf,mxq,4_57,4.57,mxq1,4.6882,6.5141,8.52,7.36,38.947505235672,13000000000
Llama-2-13b-hf,mxq,4_47,4.47,mxq1,4.6914,6.5168,8.37,7.21,38.94000625610352,13000000000
Llama-2-7b-hf,mxq,4_19,4.19,mxq1,5.3245,7.1459,4.44,3.7,20.743916988372803,7000000000
Llama-2-7b-hf,mxq,4_31,4.31,mxq1,5.3097,7.1112,4.48,3.74,19.612579107284542,7000000000
Llama-2-13b-hf,mxq,4_53,4.53,mxq1,4.689,6.5136,8.46,7.3,38.96563124656677,13000000000
Llama-2-13b-hf,mxq,4_23,4.23,mxq1,4.7167,6.5481,8.04,6.88,40.51502966880798,13000000000
Llama-2-7b-hf,mxq,4_27,4.27,mxq1,5.3106,7.1197,4.45,3.72,20.036747694015503,7000000000
Llama-2-13b-hf,mxq,4_21,4.21,mxq1,4.719,6.5519,8.04,6.88,41.05225133895874,13000000000
Llama-2-7b-hf,mxq,4_13,4.13,mxq1,5.334,7.1706,3.72,3.72,20.87559461593628,7000000000
Llama-2-7b-hf,mxq,4_59,4.59,mxq1,5.2849,7.0742,4.69,3.95,19.17374587059021,7000000000
Llama-2-13b-hf,mxq,4_25,4.25,mxq1,4.7089,6.5419,6.9,6.91,40.46815299987793,13000000000
Llama-2-13b-hf,mxq,4_29,4.29,mxq1,4.7031,6.5348,8.12,6.97,40.09323787689209,13000000000
Meta-Llama-3-8B,mxq,4_61,4.61,mxq1,6.111,9.459,6.66,5.7,27.436137199401852,8000000000
Llama-2-7b-hf,mxq,4_55,4.55,mxq1,5.2859,7.0774,4.66,3.93,19.15705108642578,7000000000
Llama-2-13b-hf,mxq,4_41,4.41,mxq1,4.6929,6.521,8.28,7.13,39.22174906730652,13000000000
Llama-2-13b-hf,mxq,4_03,4.03,mxq1,4.7657,6.613,8.13,6.98,42.46521067619324,13000000000
Llama-2-13b-hf,mxq,4_11,4.11,mxq1,4.7407,6.5778,8.1,6.95,41.86778664588928,13000000000
Llama-2-13b-hf,mxq,4_17,4.17,mxq1,4.7306,6.5591,8.07,6.91,41.23172092437744,13000000000
Meta-Llama-3-8B,mxq,4_17,4.17,mxq1,6.3811,9.9266,6.48,5.52,25.636372327804565,8000000000
Meta-Llama-3-8B,mxq,4_33,4.33,mxq1,6.1794,9.5815,6.43,5.47,25.249829053878784,8000000000
Llama-2-7b-hf,mxq,4_33,4.33,mxq1,5.3014,7.101,4.49,3.76,19.56880807876587,7000000000
Meta-Llama-3-8B,mxq,4_53,4.53,mxq1,6.1145,9.4646,6.6,5.64,23.70330619812012,8000000000
Meta-Llama-3-8B,mxq,4_31,4.31,mxq1,6.2252,9.6562,6.43,5.47,25.809986114501957,8000000000
Llama-2-7b-hf,mxq,4_03,4.03,mxq1,5.3814,7.2461,4.45,3.72,20.969598531723022,7000000000
Llama-2-7b-hf,mxq,4_51,4.51,mxq1,5.2898,7.0788,3.89,3.89,19.155563831329346,7000000000
Meta-Llama-3-8B,mxq,4_57,4.57,mxq1,6.1122,9.4631,6.63,5.67,24.524535417556763,8000000000
Llama-2-13b-hf,mxq,4_55,4.55,mxq1,4.6895,6.5129,8.5,7.34,38.63822436332703,13000000000
Llama-2-13b-hf,mxq,4_05,4.05,mxq1,4.756,6.6024,8.14,6.98,42.40979599952698,13000000000
Meta-Llama-3-8B,mxq,4_21,4.21,mxq1,6.3441,9.8427,6.46,5.5,25.76648712158203,8000000000
Llama-2-13b-hf,mxq,4_49,4.49,mxq1,4.6888,6.5146,8.4,7.24,38.84530258178711,13000000000
Llama-2-7b-hf,mxq,4_25,4.25,mxq1,5.3115,7.1268,3.71,3.71,20.26943135261536,7000000000
Meta-Llama-3-8B,mxq,4_23,4.23,mxq1,6.3174,9.7954,6.46,5.5,27.35953164100647,8000000000
Llama-2-7b-hf,mxq,4_05,4.05,mxq1,5.3753,7.2209,4.43,3.7,20.88037323951721,7000000000
Llama-2-7b-hf,mxq,4_11,4.11,mxq1,5.3408,7.1813,4.46,3.73,20.761564016342163,7000000000
Llama-2-13b-hf,mxq,4_19,4.19,mxq1,4.7227,6.5555,8.05,6.9,41.09080386161804,13000000000
Llama-2-13b-hf,mxq,4_61,4.61,mxq1,4.6907,6.5113,8.58,7.42,38.93445158004761,13000000000
Llama-2-13b-hf,mxq,4_07,4.07,mxq1,4.7491,6.5939,8.12,6.96,42.46434950828552,13000000000
Llama-2-7b-hf,mxq,4_45,4.45,mxq1,5.2966,7.087,4.58,3.84,19.19464921951294,7000000000
Llama-2-13b-hf,mxq,4_59,4.59,mxq1,4.6899,6.5132,8.55,7.39,38.80632185935974,13000000000
Llama-2-13b-hf,mxq,4_51,4.51,mxq1,4.6891,6.5144,7.28,7.28,38.84453558921814,13000000000
Meta-Llama-3-8B,mxq,4_25,4.25,mxq1,6.2909,9.7613,5.49,5.49,27.399765968322757,8000000000
Llama-2-7b-hf,mxq,4_09,4.09,mxq1,5.3551,7.1952,4.45,3.72,21.231635093688965,7000000000
Llama-2-13b-hf,mxq,4_15,4.15,mxq1,4.7308,6.5647,8.07,6.92,41.51810216903687,13000000000
Llama-2-13b-hf,mxq,4_45,4.45,mxq1,4.6926,6.5185,8.34,7.18,39.33842134475708,13000000000
Llama-2-13b-hf,mxq,4_27,4.27,mxq1,4.7087,6.5377,8.09,6.93,40.65523076057434,13000000000
Meta-Llama-3-8B,mxq,4_29,4.29,mxq1,6.2456,9.6912,6.43,5.47,26.04448127746582,8000000000
Meta-Llama-3-8B,mxq,4_55,4.55,mxq1,6.1126,9.4656,6.61,5.65,23.91134476661682,8000000000
Llama-2-13b-hf,mxq,4_33,4.33,mxq1,4.6976,6.5283,8.16,7.01,39.751455783844,13000000000
Meta-Llama-3-8B,mxq,4_47,4.47,mxq1,6.1155,9.4657,6.55,5.59,24.25788116455078,8000000000
Llama-2-13b-hf,mxq,4_35,4.35,mxq1,4.699,6.5243,8.19,7.04,39.7638783454895,13000000000
Meta-Llama-3-8B,mxq,4_35,4.35,mxq1,6.1673,9.5576,6.45,5.49,25.076794862747192,8000000000
