model,algo,config,config_detail,quant_duration,load_mem_allot,load_mem_reserved,ppl_mem_allot,ppl_mem_reserved,leaderboard_mem_allot,leaderboard_mem_reserved,ppl_wikitext,ppl_c4,duration_wikitext,duration_c4,duration_leaderboard,ifeval,bbh,mathlevel5,gpqa,musr,mmlupro
Llama-2-13b-hf,hqq,b4g64,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",44.68034362792969,8239339520,9095348224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B,hqq,b3g32,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 32, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",23.726492404937744,5117009920,6029312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B,hqq,b2g64,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",23.28206992149353,4549992448,5588910080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-7b-hf,hqq,b4g32,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 32, 'optimize': True, 'round_zero': True, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",20.951829195022583,3965313024,4647288832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-13b-hf,hqq,b2g32,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 32, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",47.27951836585999,6214768640,6398410752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-13b-hf,hqq,b4g128,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': True, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",44.970765829086304,6870734848,7805599744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-13b-hf,hqq,b3g128,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",55.92547369003296,4431468544,7014973440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-7b-hf,hqq,b4g128,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': True, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",23.7102792263031,3682131968,4481613824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B,hqq,b2g16,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 16, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",20.47137975692749,4640528384,5718933504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-7b-hf,hqq,b4g64,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",22.514469623565677,4438974464,5813305344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B,hqq,b4g64,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",23.242197275161743,6271721472,7073693696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-13b-hf,hqq,b4g32,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 32, 'optimize': True, 'round_zero': True, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",43.59392046928406,7366891520,8839495680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B,hqq,b3g64,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",26.31030797958374,6275129344,7012876288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-7b-hf,hqq,b2g32,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 32, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",20.570948839187626,3379879936,4041211904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B,hqq,b4g32,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 32, 'optimize': True, 'round_zero': True, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",19.94433546066284,5764341760,6530531328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-13b-hf,hqq,b2g16,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 16, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",47.33265924453735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B,hqq,b4g128,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': True, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",26.249545574188232,5509668864,6492782592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B,hqq,b3g128,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",29.24294137954712,4196687872,5282725888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B,hqq,b2g32,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 32, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",19.63822054862976,5224488960,6486491136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-13b-hf,hqq,b3g32,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 32, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",52.63454294204712,6189963264,9502195712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-7b-hf,hqq,b2g16,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 16, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",21.13390564918518,8689582080,9743368192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-13b-hf,hqq,b3g64,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",51.12559008598328,8255232000,9818865664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-7b-hf,hqq,b3g128,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",26.549920558929443,2459459584,3128950784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-7b-hf,hqq,b2g64,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",22.112624168396,2789384192,3875536896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-13b-hf,hqq,b2g64,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",48.67269015312195,5020129280,5362417664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-7b-hf,hqq,b3g32,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 32, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",24.573203325271606,3392692224,4037017600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llama-2-7b-hf,hqq,b3g64,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': False, 'axis': 0, 'view_as_float': False}, 'scale_quant_params': None, 'zero_quant_params': {'nbits': 8, 'channel_wise': False, 'group_size': None, 'optimize': False}, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",25.21928334236145,4434321408,5010096128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
