model,module,layer,memmb,param_cnt,bit_budget,b1,g1,b2,g2,params_quant_tot,params_all_tot
Qwen3.5-9B,linear_attn.in_proj_a,13,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.k_proj,27,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,24,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,26,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,25,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,24,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,30,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,18,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,6,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,16,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,27,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,21,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,19,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,30,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,14,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,26,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,26,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.v_proj,23,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,12,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,20,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,13,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.q_proj,23,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,26,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.o_proj,3,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.k_proj,3,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.q_proj,19,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.k_proj,31,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,11,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,8,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,6,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,2,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,5,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.o_proj,23,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,16,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,30,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,6,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.q_proj,31,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,29,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,14,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,21,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,9,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,17,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,11,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,16,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,2,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,4,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,14,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,1,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,9,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,29,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,0,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,24,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,13,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,15,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,12,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,23,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,28,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.o_proj,27,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,1,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,23,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,24,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,28,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,3,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,16,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,20,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,1,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,5,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,26,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,30,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,25,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,6,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,26,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,17,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,10,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,14,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,13,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,25,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,3,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,22,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,31,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,19,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,25,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,2,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,9,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,29,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,6,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,28,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,6,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,20,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,12,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,5,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,22,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,2,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,20,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,12,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,22,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,25,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.k_proj,15,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,24,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,20,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,18,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,14,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,26,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,25,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,23,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,20,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,29,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,16,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,0,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,2,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,0,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,17,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,28,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,1,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,24,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,31,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,13,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,12,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,16,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,15,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,29,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,5,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,8,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,4,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,4,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,2,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,5,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,10,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,16,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,21,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,18,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,29,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.o_proj,7,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,0,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,22,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.v_proj,31,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,1,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.q_proj,3,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,9,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,21,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,28,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,8,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,30,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,0,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,8,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,21,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,28,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,31,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,12,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,18,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,8,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,4,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.q_proj,15,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,12,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,21,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,8,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.q_proj,11,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,10,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,10,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,17,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,5,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,4,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.k_proj,11,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,4,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.v_proj,15,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,4,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,9,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,7,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.o_proj,11,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,14,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,1,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,13,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,22,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,18,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.q_proj,7,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,10,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.k_proj,7,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,21,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,15,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,17,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,20,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,10,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,13,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,1,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,22,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,27,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,25,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,4,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,8,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.v_proj,11,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,10,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,6,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,7,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,3,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.o_proj,19,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,21,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,8,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,0,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,27,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,29,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,26,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,6,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.v_proj,27,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,22,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,5,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,30,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.v_proj,3,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,14,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,30,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,14,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,17,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,29,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,30,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.k_proj,23,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.k_proj,19,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,2,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,18,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,22,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,16,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.o_proj,31,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,9,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,11,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,7,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.v_proj,19,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,28,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,24,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,18,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,1,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,19,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,9,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,20,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.up_proj,12,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_z,0,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,10,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,18,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.q_proj,27,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,5,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.o_proj,15,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,2,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,self_attn.v_proj,7,8.5078125,16777216,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,24,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_qkv,17,68.0625,134217728,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,25,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.out_proj,28,34.03125,67108864,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_b,9,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,linear_attn.in_proj_a,0,0.265869140625,524288,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.gate_proj,13,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
Qwen3.5-9B,mlp.down_proj,17,102.09375,201326592,4.25,4,64,8,128,27674017792,29709315072
